instance,num agents,algorithm,length,loops
119,4,Window8,41,0
119,4,Window4,42,0
119,4,Window2,42,0
120,5,Window8,32,0
120,5,Window4,32,0
120,5,Window2,32,0
121,6,Window8,44,0
121,6,Window4,44,0
121,6,Window2,44,0
122,7,Window8,60,0
122,7,Window4,71,0
122,7,Window2,71,0
123,8,Window8,79,0
123,8,Window4,73,0
123,8,Window2,73,0
124,9,Window8,94,0
124,9,Window4,94,0
124,9,Window2,97,0
125,10,Window8,103,0
125,10,Window4,99,0
125,10,Window2,99,0
126,11,Window8,88,0
126,11,Window4,88,0
126,11,Window2,88,0
127,12,Window8,116,0
127,12,Window4,116,0
127,12,Window2,116,1
128,13,Window8,110,0
128,13,Window4,109,0
128,13,Window2,109,0
129,14,Window8,129,0
129,14,Window4,129,0
129,14,Window2,124,0
130,15,Window8,121,0
130,15,Window4,123,0
130,15,Window2,123,0
131,16,Window8,146,0
131,16,Window4,148,0
131,16,Window2,145,0
132,17,Window8,145,0
132,17,Window4,148,0
132,17,Window2,150,0
133,18,Window8,141,0
133,18,Window4,139,0
133,18,Window2,140,0
134,19,Window8,172,0
134,19,Window4,177,0
134,19,Window2,181,0
135,20,Window8,165,0
135,20,Window4,171,0
135,20,Window2,170,0
136,21,Window8,193,0
136,21,Window4,187,0
136,21,Window2,201,0
137,22,Window8,165,0
137,22,Window4,172,0
137,22,Window2,177,0
138,23,Window8,230,0
138,23,Window4,231,0
138,23,Window2,232,0
139,24,Window8,226,0
139,24,Window4,227,0
139,24,Window2,229,0
140,25,Window8,210,0
140,25,Window4,210,0
140,25,Window2,205,0
141,26,Window8,282,1
141,26,Window4,292,0
141,26,Window2,302,0
142,27,Window8,239,0
142,27,Window4,243,1
142,27,Window2,237,0
143,28,Window8,250,0
143,28,Window4,249,2
143,28,Window2,NA,NA
144,29,Window8,252,0
144,29,Window4,250,1
144,29,Window2,246,0
145,30,Window8,244,0
145,30,Window4,257,0
145,30,Window2,247,0
146,31,Window8,NA,NA
146,31,Window4,NA,NA
146,31,Window2,338,1
147,32,Window8,NA,NA
147,32,Window4,312,0
147,32,Window2,317,2
148,33,Window8,260,0
148,33,Window4,268,0
148,33,Window2,253,0
149,34,Window8,308,0
149,34,Window4,310,0
149,34,Window2,309,2
150,35,Window8,NA,NA
150,35,Window4,NA,NA
150,35,Window2,344,1
151,36,Window8,NA,NA
151,36,Window4,NA,NA
151,36,Window2,309,1
152,37,Window8,NA,NA
152,37,Window4,NA,NA
152,37,Window2,349,0
153,38,Window8,NA,NA
153,38,Window4,NA,NA
153,38,Window2,NA,NA
154,39,Window8,NA,NA
154,39,Window4,NA,NA
154,39,Window2,NA,NA
155,40,Window8,NA,NA
155,40,Window4,NA,NA
155,40,Window2,NA,NA
156,2,Window8,22,0
156,2,Window4,22,0
156,2,Window2,22,0
157,3,Window8,37,0
157,3,Window4,37,0
157,3,Window2,37,0
158,4,Window8,23,0
158,4,Window4,23,0
158,4,Window2,23,0
159,5,Window8,44,0
159,5,Window4,44,0
159,5,Window2,44,0
160,6,Window8,58,0
160,6,Window4,58,0
160,6,Window2,58,0
161,7,Window8,67,0
161,7,Window4,67,0
161,7,Window2,67,0
162,8,Window8,62,0
162,8,Window4,61,0
162,8,Window2,61,0
